SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Female","43.5000","154","520.5000","67","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","42.9000","154","1060.7000","66","75.3000","154","540.3000","116"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Hispanic","<=50%","15","454.7000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","15","941.3000","4",">=50%","15","486.7000","8"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Homeless","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Male","59.8000","189","558.0000","113","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.7000","189","1105.8000","109","73.0000","189","547.7000","138"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Native Hawaiian or Other Pacific Islander","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","58.2000","282","556.7000","164","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56.4000","282","1114.2000","159","78.4000","282","557.5000","221"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not English Language Learners","55.1000","321","548.6000","177","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","53.6000","321","1101.4000","172","76.9000","321","552.8000","247"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Foster Care","52.5000","343","541.2000","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.0000","343","1085.5000","175","74.1000","343","544.4000","254"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Homeless","52.6000","342","542.2000","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.2000","342","1087.1000","175","74.3000","342","544.9000","254"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Migrant","52.5000","343","541.2000","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.0000","343","1085.5000","175","74.1000","343","544.4000","254"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Military Connected","52.5000","343","541.2000","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.0000","343","1085.5000","175","74.1000","343","544.4000","254"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students with Disabilities","<=20%","17","361.8000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","17","758.8000","<3","<=20%","17","397.1000","3"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students without IEP","55.2000","326","550.5000","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","53.7000","326","1102.6000","175","77.0000","326","552.1000","251"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Two or More Races","<=50%","10","529.0000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","10","1086.0000","4",">=50%","10","557.0000","10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","47.2000","214","523.0000","101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","45.3000","214","1052.3000","97","71.5000","214","529.3000","153"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","All Students","<=10%","42","399.3000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","42","852.9000","4","45.2000","42","453.6000","19"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Asian","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Economically Disadvantaged","<=20%","18","364.4000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","18","780.6000","<3","27.8000","18","416.1000","5"
