SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Grade,Subject,Subgroup_1,Subgroup_2,EBRWPercentProficient,EBRWPercentNotProficient
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Students without IEP","English Learners","<=50%",">=50%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Students with Disabilities","Not English Learners","<=50%","<=50%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Students with Disabilities","English Learners","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Black, not of Hispanic origin","Not English Learners","<=50%","<=50%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Black, not of Hispanic origin","Students without IEP","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Black, not of Hispanic origin","Students with Disabilities","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Not English Learners",">=50%","<=50%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","English Learners","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Students without IEP",">=50%","<=50%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Not English Learners","80.5","19.5"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","English Learners","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Students without IEP","79.6","20.4"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Students with Disabilities","<=50%","<=50%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Two or More Races","Not English Learners",">=50%","<=50%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Two or More Races","English Learners","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Two or More Races","Students without IEP",">=50%","<=50%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Two or More Races","Students with Disabilities","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Asian","Not English Learners","88.4","11.6"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Asian","English Learners","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Asian","Students without IEP","86.5","13.5"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Asian","Students with Disabilities","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Female","Not English Learners","81.0","19.0"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Female","English Learners","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Female","Students without IEP","82.9","17.1"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Female","Students with Disabilities","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Black, not of Hispanic origin","Female","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Hispanic","Female","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","White, not of Hispanic origin","Female","76.4","23.6"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Two or More Races","Female","*","*"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Asian","Female",">=90%","<=10%"
"20 - 21 School Year","SAT","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","5","11","EBRW","Male","Not English Learners","82.7","17.3"
