SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Native Hawaiian or Other Pacific Islander","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","79.2000","370","638.9000","293","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","77.6000","370","1246.9000","287","88.4000","370","607.9000","327"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not English Language Learners","79.2000","390","638.3000","309","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","77.7000","390","1246.8000","303","89.5000","390","608.6000","349"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Foster Care","76.8000","414","630.9000","318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","74.9000","414","1232.5000","310","87.4000","414","601.6000","362"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Homeless","76.8000","414","630.9000","318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","74.9000","414","1232.5000","310","87.4000","414","601.6000","362"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Migrant","76.8000","414","630.9000","318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","74.9000","414","1232.5000","310","87.4000","414","601.6000","362"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Military Connected","76.8000","414","630.9000","318","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","74.9000","414","1232.5000","310","87.4000","414","601.6000","362"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students with Disabilities","<=50%","14","550.7000","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","14","1082.1000","6",">=50%","14","531.4000","9"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students without IEP","78.0000","400","633.7000","312","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76.0000","400","1237.8000","304","88.3000","400","604.1000","353"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Two or More Races","76.2000","21","623.3000","16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","76.2000","21","1217.1000","16",">=80%","21","593.8000","18"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","62.6000","174","575.7000","109","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","59.8000","174","1139.0000","104","81.0000","174","563.2000","141"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","59.7000","313","565.2000","187","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","57.8000","313","1122.8000","181","79.6000","313","557.6000","249"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","76.3000","76","618.3000","58","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","73.7000","76","1212.8000","56","85.5000","76","594.5000","65"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin",">=50%","10","510.0000","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","10","1027.0000","5","<=50%","10","517.0000","5"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","43.8000","32","510.3000","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","37.5000","32","1017.2000","12","59.4000","32","506.9000","19"
"20 - 21 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","<=50%","15","474.7000","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","15","914.0000","4","<=50%","15","439.3000","5"
