SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Not English Learners","71.9","14.0","<=10%","<=10%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","Students without IEP","78.3","13.3","<=10%","<=10%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Male","72.7","15.2","<=10%","<=10%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Students without IEP","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Female","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Black, not of Hispanic origin","Students without IEP","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Male",">=80%","<=20%","<=20%","<=20%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Male","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Students with Disabilities","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Students with Disabilities","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","Not English Learners","77.4","14.5","<=5%","<=5%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Students without IEP","78.0","14.6","<=10%","<=10%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Male","64.7","23.5","<=10%","<=10%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Female","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Students with Disabilities","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Students without IEP","Not English Learners","71.7","19.2","6.7","<=5%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Female","English Learners","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Not English Learners","69.6","19.0","7.6","<=5%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Students without IEP","English Learners","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Not English Learners","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Students without IEP","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Students without IEP","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","Students with Disabilities","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Female","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Male","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Male","76.2","<=20%","<=20%","<=20%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Students without IEP","68.5","20.5","8.2","<=5%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Male","*","*","*","*"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Female","Students without IEP","71.8","19.7","5.6","<=5%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Female",">=80%","<=20%","<=20%","<=20%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","Students without IEP","67.3","21.2","<=10%","<=10%"
"20 - 21 School Year","PSAT","63","Oakland Schools","63150","Troy School District","06366","Larson Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Female","Not English Learners","72.9","18.6","5.7","<=5%"
