SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Homeless","69.3000","531","598.7000","368","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.4000","530","1176.6000","357","82.6000","530","577.6000","438"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Migrant","69.2000","532","598.3000","368","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.2000","531","1175.9000","357","82.5000","531","577.3000","438"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Military Connected","69.2000","532","598.3000","368","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","67.2000","531","1175.9000","357","82.5000","531","577.3000","438"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students with Disabilities","<=20%","18","436.1000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","18","877.8000","3","38.9000","18","441.7000","7"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Students without IEP","71.0000","514","604.0000","365","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","69.0000","513","1186.4000","354","84.0000","513","582.1000","431"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Two or More Races","63.0000","27","561.1000","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","63.0000","27","1128.5000","17",">=80%","27","567.4000","24"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","04226","Troy High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","White, not of Hispanic origin","53.8000","234","542.6000","126","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.7000","234","1087.9000","121","78.2000","234","545.3000","183"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","All Students","53.8000","370","541.5000","199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.3000","370","1080.1000","186","72.7000","370","538.6000","269"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Asian","83.1000","83","615.1000","69","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","79.5000","83","1197.7000","66","85.5000","83","582.7000","71"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Black, not of Hispanic origin","21.1000","19","451.6000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.1000","19","928.4000","4","52.6000","19","476.8000","10"
