SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,SchoolCode,SchoolName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Subject,Category,Group,PercentBottom30,NumberBottom30,PercentMiddle40,NumberMiddle40,PercentTop30,NumberTop30,NumberOfStudents
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Not English Learners","25.50","141","40.80","225","33.70","186","552"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Not Migrant","30.00","186","40.10","249","30.00","186","621"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Students without IEP","24.90","141","42.90","243","32.30","183","567"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Not Economically Disadvantaged","22.10","102","41.60","192","36.20","167","461"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Not Homeless","29.80","184","40.00","247","30.10","186","617"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Not Homeless","29.90","63","39.80","84","30.30","64","211"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Not English Learners","27.20","50","38.00","70","34.80","64","184"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Not Migrant","30.20","64","39.60","84","30.20","64","212"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Not Economically Disadvantaged","20.00","31","43.20","67","36.80","57","155"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Not Economically Disadvantaged","22.20","103","40.80","189","36.90","171","463"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Students without IEP","25.70","145","41.80","236","32.40","183","564"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Not Economically Disadvantaged","20.50","32","42.30","66","37.20","58","156"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Not Homeless","29.60","63","40.40","86","30.00","64","213"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Students without IEP","27.10","52","40.60","78","32.30","62","192"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Not English Learners","28.00","52","38.20","71","33.90","63","186"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Not Migrant","29.90","64","40.20","86","29.90","64","214"
